version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 123456789012 eni-044f15224b680339b 13.32.27.10 10.0.2.31 11087 27017 6 1 52 1777437612 1777437614 REJECT OK
2 123456789012 eni-044f15224b680339b 185.220.101.45 10.0.1.172 57900 22 6 3 44 1777450143 1777450144 REJECT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.1.216 104.18.32.115 41884 5432 6 2608 2480208 1777437152 1777437174 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 172.16.10.75 10.0.3.57 49692 53 17 4035 613320 1777486156 1777486243 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 140.82.121.4 10.0.1.49 54155 80 6 2585 2755610 1777498618 1777498644 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.3.149 10.0.2.58 0 0 1 3 205 1777483981 1777483982 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 104.18.32.115 10.0.1.185 59596 80 6 4200 3259200 1777480201 1777480284 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.3.15 10.0.1.80 53155 5432 6 3291 2445213 1777450695 1777450773 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 52.94.236.248 10.0.1.23 40355 80 6 4064 2015744 1777473337 1777473437 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 151.101.65.140 10.0.1.160 59761 443 6 3239 2529659 1777440853 1777440893 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.1.116 10.0.1.208 43721 123 17 3002 504336 1777482842 1777482935 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.2.115 10.0.3.40 55880 3389 6 3238 3736652 1777493589 1777493662 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 1.1.1.1 10.0.1.26 49042 443 6 4139 3286366 1777433359 1777433471 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 172.16.10.31 172.16.10.21 46693 3306 6 769 910496 1777511538 1777511604 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.3.155 10.0.3.217 47877 3389 6 1528 1100160 1777495807 1777495927 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 172.16.10.89 52.94.236.248 35023 3306 6 426 357414 1777454901 1777454908 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 151.101.1.140 10.0.1.170 58301 443 6 2481 1496043 1777514339 1777514351 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 104.18.32.115 10.0.1.220 41408 443 6 4555 5151705 1777473997 1777474054 ACCEPT OK
2 123456789012 eni-044f15224b680339b 172.16.10.99 104.18.32.115 41022 5432 6 4387 3733337 1777489825 1777489863 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.3.188 10.0.2.207 53916 5432 6 2423 2834910 1777451417 1777451427 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.2.181 10.0.1.30 58496 5432 6 3590 2071430 1777444052 1777444095 ACCEPT OK
2 123456789012 eni-044f15224b680339b 1.1.1.1 10.0.1.140 52509 80 6 841 404521 1777478984 1777479026 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 194.165.16.78 10.0.2.48 60552 83 6 1 44 1777437664 1777437665 REJECT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.1.51 10.0.1.24 45808 22 6 3315 2217735 1777439111 1777439229 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 151.101.1.140 10.0.1.223 36756 443 6 1879 1025934 1777496342 1777496360 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 151.101.65.140 172.16.10.78 37959 27017 6 1 63 1777496831 1777496835 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 104.18.32.115 10.0.1.134 38192 443 6 961 647714 1777490866 1777490955 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 172.16.10.9 10.0.2.242 47691 3389 6 973 988568 1777444216 1777444264 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 - - - - - - - 1777431306 1777431906 - SKIPDATA
2 123456789012 eni-044f15224b680339b 10.0.1.216 10.0.3.135 35398 123 17 460 122360 1777461320 1777461326 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.2.48 8.8.8.8 39561 443 6 3386 3325052 1777493872 1777493968 ACCEPT OK
2 123456789012 eni-044f15224b680339b 172.16.10.97 10.0.1.86 34168 22 6 4214 1799378 1777483513 1777483593 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.2.159 8.8.8.8 59436 3306 6 4442 4379812 1777480855 1777480889 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 151.101.65.140 10.0.1.154 50766 80 6 1708 684908 1777473781 1777473792 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.2.231 13.32.27.10 53794 123 17 1459 364750 1777466712 1777466749 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 194.165.16.78 10.0.2.48 56622 1018 6 1 44 1777437667 1777437668 REJECT OK
2 123456789012 eni-044f15224b680339b - - - - - - - 1777507674 1777508274 - SKIPDATA
2 123456789012 eni-044f15224b680339b 45.155.205.233 10.0.1.68 63833 22 6 3 137 1777494769 1777494770 REJECT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.2.181 104.18.32.115 59313 443 6 4154 2305470 1777505482 1777505571 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.2.223 172.16.10.226 0 0 1 2 175 1777485847 1777485848 ACCEPT OK
2 123456789012 eni-044f15224b680339b 151.101.1.140 172.16.10.27 29418 6379 6 1 49 1777438876 1777438880 REJECT OK
2 123456789012 eni-99bd7a6155c10668e 1.1.1.1 10.0.1.56 56250 443 6 2067 1161654 1777499262 1777499280 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.2.68 10.0.1.171 0 0 1 4 249 1777454766 1777454767 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.2.18 10.0.2.200 33908 123 17 2967 587466 1777432926 1777432973 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 104.18.32.115 10.0.1.228 51128 80 6 1205 901340 1777501629 1777501710 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.2.138 151.101.65.140 54578 22 6 391 186898 1777501355 1777501408 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.3.63 10.0.2.36 33587 80 6 4468 2184852 1777504054 1777504141 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 172.16.10.217 104.18.32.115 59219 3389 6 4561 1942986 1777435998 1777436077 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.3.19 10.0.1.68 0 0 1 1 129 1777462442 1777462443 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.2.143 140.82.121.4 40952 3306 6 176 135344 1777493661 1777493682 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 140.82.121.4 10.0.1.188 43586 80 6 1180 643100 1777434231 1777434266 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.1.26 172.16.10.156 44048 22 6 3499 3593473 1777507795 1777507840 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 194.165.16.78 10.0.1.243 41099 847 6 1 44 1777489050 1777489051 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 151.101.65.140 10.0.1.174 43824 80 6 3207 2565600 1777455436 1777455481 ACCEPT OK
2 123456789012 eni-044f15224b680339b 151.101.1.140 10.0.1.121 53846 80 6 4653 2279970 1777443596 1777443670 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 1.1.1.1 10.0.1.60 59713 443 6 1470 882000 1777511563 1777511657 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.1.187 10.0.2.195 53131 123 17 4570 1087660 1777499201 1777499233 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 13.32.27.10 10.0.2.244 64782 27017 6 1 41 1777502120 1777502125 REJECT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.3.90 10.0.1.183 41105 3306 6 3323 2824550 1777440320 1777440325 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.1.235 10.0.3.101 0 0 1 1 78 1777503276 1777503277 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 - - - - - - - 1777502122 1777502722 - SKIPDATA
2 123456789012 eni-c240636cdec8ffb07 172.16.10.60 172.16.10.197 35987 3306 6 317 256453 1777505910 1777505927 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e - - - - - - - 1777444357 1777444957 - SKIPDATA
2 123456789012 eni-09599e93d26cfd9ea 10.0.2.218 1.1.1.1 40882 443 6 4673 4831882 1777453828 1777453854 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 8.8.8.8 10.0.1.136 43769 80 6 4987 5081753 1777447309 1777447401 ACCEPT OK
2 123456789012 eni-044f15224b680339b 172.16.10.53 172.16.10.48 59220 5432 6 82 38950 1777516607 1777516654 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 45.155.205.233 10.0.1.68 49546 22 6 1 195 1777494814 1777494815 REJECT OK
2 123456789012 eni-304496ab3037c7613 172.16.10.63 172.16.10.172 40389 53 17 3348 482112 1777497281 1777497364 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.1.171 172.16.10.34 42023 3389 6 1281 1306620 1777494775 1777494801 ACCEPT OK
2 123456789012 eni-044f15224b680339b 10.0.1.41 10.0.3.91 43458 53 17 160 16640 1777473970 1777473982 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 151.101.1.140 10.0.1.117 57894 27017 6 1 77 1777506280 1777506281 REJECT OK
2 123456789012 eni-c240636cdec8ffb07 194.165.16.78 172.16.10.126 61435 163 6 1 44 1777469966 1777469967 REJECT OK
2 123456789012 eni-044f15224b680339b 10.0.2.252 10.0.1.8 49371 3306 6 4841 5049163 1777469091 1777469105 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.3.86 151.101.1.140 46794 123 17 3530 677760 1777508832 1777508866 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.1.163 10.0.1.51 0 0 1 2 227 1777471520 1777471521 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 13.32.27.10 10.0.1.31 43435 80 6 1506 1522566 1777444303 1777444398 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 172.16.10.91 10.0.2.160 0 0 1 1 159 1777446827 1777446828 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.1.188 10.0.2.154 60607 80 6 4207 3941959 1777497985 1777498048 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.1.43 10.0.2.64 34592 53 17 1839 318147 1777512592 1777512609 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.2.129 10.0.2.191 51706 5432 6 3227 2707453 1777516442 1777516562 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.3.89 10.0.1.172 51005 3389 6 239 285605 1777472295 1777472309 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 8.8.4.4 10.0.1.66 57801 80 6 2596 1985940 1777457840 1777457914 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.3.9 10.0.1.184 38213 22 6 3229 1730744 1777477431 1777477504 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 1.1.1.1 10.0.1.184 41588 80 6 68 43384 1777460024 1777460118 ACCEPT OK
2 123456789012 eni-044f15224b680339b 172.16.10.76 8.8.8.8 59181 53 17 3113 420255 1777474156 1777474183 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 172.16.10.156 10.0.2.148 45105 123 17 4305 714630 1777451038 1777451138 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.2.113 10.0.3.149 51101 22 6 3706 2909210 1777449408 1777449528 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.1.123 8.8.4.4 45201 22 6 4746 2311302 1777488729 1777488755 ACCEPT OK
2 123456789012 eni-044f15224b680339b 172.16.10.247 140.82.121.4 50571 443 6 4878 3253626 1777449011 1777449098 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 151.101.65.140 10.0.1.30 58540 443 6 2122 1462058 1777515859 1777515942 ACCEPT OK
2 123456789012 eni-044f15224b680339b 104.18.32.115 10.0.3.105 56185 27017 6 1 66 1777460306 1777460309 REJECT OK
2 123456789012 eni-304496ab3037c7613 172.16.10.173 1.1.1.1 50708 3306 6 848 463856 1777515835 1777515945 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 151.101.65.140 10.0.1.43 45817 80 6 3463 3175571 1777455791 1777455848 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.3.89 8.8.4.4 47253 443 6 1610 735770 1777468578 1777468689 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 1.1.1.1 10.0.3.37 33019 27017 6 1 45 1777449385 1777449389 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.2.79 172.16.10.33 44619 443 6 4822 3698474 1777443984 1777444015 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.2.252 10.0.2.129 54800 5432 6 2641 2976407 1777446383 1777446472 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea - - - - - - - 1777440589 1777441189 - NODATA
2 123456789012 eni-4b50c4525e7ff86c7 172.16.10.173 10.0.3.19 0 0 1 1 213 1777487024 1777487025 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.2.198 172.16.10.202 48510 53 17 1958 301532 1777451385 1777451475 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.1.4 10.0.1.152 36307 3389 6 4696 2484184 1777492111 1777492227 ACCEPT OK
2 123456789012 eni-044f15224b680339b - - - - - - - 1777512815 1777513415 - SKIPDATA
2 123456789012 eni-4b50c4525e7ff86c7 172.16.10.14 151.101.65.140 33641 5432 6 1932 1535940 1777451689 1777451737 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 172.16.10.80 151.101.65.140 55507 123 17 2589 662784 1777499881 1777499979 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.3.224 52.94.236.248 44117 80 6 4572 2016252 1777464967 1777465042 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 151.101.1.140 10.0.1.103 40649 80 6 3291 3893253 1777503523 1777503541 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 172.16.10.1 10.0.3.40 41337 5432 6 1722 926436 1777506825 1777506884 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 172.16.10.224 104.18.32.115 43144 53 17 561 89760 1777512783 1777512863 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 52.94.236.248 10.0.3.25 64233 6379 6 1 54 1777449029 1777449030 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 - - - - - - - 1777435047 1777435647 - NODATA
2 123456789012 eni-34fd0abed59bcfbad 140.82.121.4 172.16.10.226 7146 8080 6 1 44 1777449532 1777449537 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.2.154 8.8.4.4 41546 123 17 3207 323907 1777461641 1777461727 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.2.33 151.101.65.140 60223 80 6 2749 2944179 1777504566 1777504591 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.3.185 13.32.27.10 37104 5432 6 4005 2755440 1777445087 1777445112 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 151.101.1.140 10.0.1.132 41292 443 6 4202 2122010 1777477917 1777477918 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 13.32.27.10 10.0.1.236 41722 443 6 51 29835 1777472947 1777472992 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 52.94.236.248 10.0.1.242 49796 80 6 4915 5082110 1777507932 1777508032 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.2.216 10.0.3.54 45948 3389 6 3423 2981433 1777464300 1777464354 ACCEPT OK
2 123456789012 eni-044f15224b680339b 151.101.1.140 10.0.1.235 47954 443 6 2419 2605263 1777452870 1777452990 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 52.94.236.248 10.0.1.186 56529 80 6 2359 2587823 1777503176 1777503240 ACCEPT OK
2 123456789012 eni-044f15224b680339b 172.16.10.169 8.8.8.8 44966 5432 6 857 894708 1777475235 1777475325 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 172.16.10.104 172.16.10.175 37211 80 6 969 769386 1777436621 1777436696 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.2.39 10.0.1.206 45609 53 17 3439 770336 1777490878 1777490894 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 13.32.27.10 10.0.1.215 56559 80 6 4012 2214624 1777440557 1777440632 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 151.101.65.140 10.0.1.130 52500 80 6 1670 1127250 1777480882 1777480949 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.3.28 151.101.1.140 46594 5432 6 1269 1422549 1777447772 1777447792 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 8.8.4.4 10.0.2.103 34658 6379 6 1 55 1777505007 1777505010 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 1.1.1.1 10.0.1.191 55551 80 6 1613 1450087 1777480948 1777481026 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 13.32.27.10 10.0.1.5 58363 443 6 4622 4742172 1777432598 1777432626 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 - - - - - - - 1777468463 1777469063 - NODATA
2 123456789012 eni-044f15224b680339b 10.0.3.54 151.101.1.140 40429 123 17 3427 1004111 1777499028 1777499050 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 8.8.8.8 10.0.1.227 45715 443 6 960 669120 1777454632 1777454748 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 172.16.10.217 10.0.1.79 35452 3306 6 4007 4311532 1777465392 1777465453 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.1.77 10.0.1.46 0 0 1 1 82 1777515417 1777515418 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 1.1.1.1 10.0.1.241 45332 80 6 99 94446 1777495333 1777495353 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.3.208 151.101.65.140 39149 80 6 3448 1586080 1777478694 1777478713 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.1.93 10.0.1.239 53972 22 6 3140 1934240 1777438101 1777438114 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.1.222 104.18.32.115 35619 443 6 3150 3764250 1777465875 1777465888 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 140.82.121.4 10.0.1.159 44627 80 6 4006 3517268 1777491868 1777491889 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.3.119 172.16.10.214 0 0 1 2 123 1777467661 1777467662 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.3.132 10.0.3.192 42500 443 6 1870 1144440 1777460966 1777461030 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.1.227 10.0.1.176 40141 5432 6 1285 1387800 1777431876 1777431986 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 13.32.27.10 10.0.1.17 43556 443 6 793 339404 1777435438 1777435519 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 172.16.10.105 10.0.2.1 42561 5432 6 1895 2128085 1777461700 1777461773 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 1.1.1.1 10.0.1.246 48149 80 6 4190 2551710 1777503877 1777503887 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 172.16.10.123 8.8.8.8 60841 443 6 3195 2648655 1777471383 1777471422 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.1.82 151.101.1.140 43876 443 6 4346 4576338 1777455818 1777455928 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 140.82.121.4 10.0.2.68 35335 8443 6 1 56 1777443593 1777443594 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 172.16.10.234 10.0.3.228 41199 80 6 4829 5200833 1777460538 1777460649 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 52.94.236.248 10.0.1.199 60401 80 6 4436 2448672 1777482486 1777482538 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.2.77 172.16.10.48 46145 53 17 1975 310075 1777446981 1777447042 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.3.161 151.101.65.140 51689 22 6 619 648712 1777468314 1777468372 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 194.165.16.78 172.16.10.126 52495 800 6 1 44 1777469966 1777469967 REJECT OK
2 123456789012 eni-e6206e4e04d4f9880 151.101.1.140 10.0.1.237 33619 80 6 4842 3006882 1777483078 1777483182 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 8.8.4.4 10.0.1.249 9459 8080 6 1 59 1777436445 1777436450 REJECT OK
2 123456789012 eni-99bd7a6155c10668e 8.8.4.4 10.0.1.5 37670 443 6 3832 2329856 1777498290 1777498385 ACCEPT OK
2 123456789012 eni-044f15224b680339b 10.0.1.246 13.32.27.10 59572 3389 6 2971 2433249 1777482213 1777482325 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 140.82.121.4 10.0.1.51 37245 80 6 1554 627816 1777497208 1777497326 ACCEPT OK
2 123456789012 eni-044f15224b680339b 104.18.32.115 10.0.1.14 14122 27017 6 1 74 1777508204 1777508209 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.1.160 10.0.2.186 52343 3306 6 4757 3534451 1777466841 1777466883 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad - - - - - - - 1777434313 1777434913 - NODATA
2 123456789012 eni-304496ab3037c7613 172.16.10.35 151.101.65.140 43144 53 17 2953 806169 1777455768 1777455819 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.3.27 104.18.32.115 48255 3389 6 2085 2395665 1777467517 1777467573 ACCEPT OK
2 123456789012 eni-044f15224b680339b 52.94.236.248 10.0.1.237 49273 443 6 1 837 1777442034 1777442070 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.2.100 10.0.1.41 0 0 1 2 115 1777486788 1777486789 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.2.162 10.0.1.191 43354 3306 6 1001 659659 1777445454 1777445521 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.3.230 13.32.27.10 33298 5432 6 1022 1140552 1777451679 1777451784 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 8.8.4.4 10.0.1.19 41324 80 6 3076 1734864 1777472687 1777472709 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.2.39 8.8.4.4 46445 22 6 4090 3124760 1777434544 1777434648 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.2.251 172.16.10.5 35109 3306 6 3856 1654224 1777459496 1777459563 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 151.101.65.140 172.16.10.176 38530 27017 6 1 76 1777490667 1777490672 REJECT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.3.91 52.94.236.248 60969 80 6 3711 3313923 1777472576 1777472638 ACCEPT OK
